City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Dikson,RU,73.5069,80.5464,-4.9,89,100,27.4,overcast clouds
79,Yellowknife,CA,62.456,-114.3525,-35.88,67,20,5.75,few clouds
80,Tuatapere,NZ,-46.1333,167.6833,52.2,92,100,0.51,overcast clouds
81,Hasaki,JP,35.7333,140.8333,32.4,50,0,28.39,clear sky
82,Saint-Philippe,RE,-21.3585,55.7679,80.19,83,92,9.64,overcast clouds
83,Tura,IN,25.5198,90.2201,58.96,75,14,3.67,few clouds
84,Olafsvik,IS,64.8945,-23.7142,25.74,63,84,12.44,broken clouds
85,Severo-Kurilsk,RU,50.6789,156.125,32.29,97,100,35.95,snow
86,Moron,AR,-34.6534,-58.6198,85.96,54,82,5.84,broken clouds
87,Kupang,ID,-10.1667,123.5833,79.12,85,100,5.95,overcast clouds
88,Gunjur,GM,13.2019,-16.7339,89.67,25,0,11.3,clear sky
89,Demidov,RU,55.2706,31.515,33.57,100,100,7.25,overcast clouds
90,Yermakovskoye,RU,53.2831,92.4003,-14.93,100,45,2.01,scattered clouds
91,Isangel,VU,-19.55,169.2667,78.82,83,80,7.16,broken clouds
92,Plaeng Yao,TH,13.5847,101.284,79.77,33,29,7.38,scattered clouds
93,Wicklow,IE,53.0,-6.4167,44.04,86,88,10.47,overcast clouds
94,Tarko-Sale,RU,64.9225,77.785,7.23,94,100,14.45,overcast clouds
95,Mecca,SA,21.4267,39.8261,66.45,60,36,10.11,scattered clouds
96,La Ronge,CA,55.1001,-105.2842,-21.75,69,100,4.61,overcast clouds
97,Gurjaani,GE,41.7429,45.8011,35.58,79,1,1.59,clear sky
98,Lorengau,PG,-2.0226,147.2712,82.51,81,98,9.37,overcast clouds
99,Guerrero Negro,MX,27.9769,-114.0611,64.2,58,79,4.14,broken clouds
100,Saldanha,ZA,-33.0117,17.9442,69.85,93,97,8.7,overcast clouds
101,Pevek,RU,69.7008,170.3133,-5.73,87,1,3.36,clear sky
102,Sao Gabriel,BR,-30.3364,-54.32,95.22,21,98,4.21,light rain
103,Ancud,CL,-41.8697,-73.8203,58.6,48,45,7.92,scattered clouds
104,Souillac,MU,-20.5167,57.5167,77.38,78,20,5.75,few clouds
105,Port Elizabeth,ZA,-33.918,25.5701,67.1,92,20,5.75,light rain
106,Jamestown,US,42.097,-79.2353,6.39,66,100,33.38,fog
107,Bandarbeyla,SO,9.4942,50.8122,77.67,76,32,13.51,scattered clouds
108,Laguna,US,38.421,-121.4238,49.08,94,100,6.91,mist
109,Mar Del Plata,AR,-38.0023,-57.5575,78.82,85,40,17.0,scattered clouds
110,Cherskiy,RU,68.75,161.3,-2.47,83,3,1.79,clear sky
111,Krasnyy Chikoy,RU,50.3643,108.7512,-4.45,100,90,1.16,overcast clouds
112,Coquimbo,CL,-29.9533,-71.3436,71.33,64,0,16.11,clear sky
113,Carahue,CL,-38.7,-73.1667,65.16,40,4,11.14,clear sky
114,Khuzdar,PK,27.7384,66.6434,43.65,26,3,5.46,clear sky
115,Rognan,NO,67.0953,15.3878,36.05,94,99,7.74,overcast clouds
116,Bhandara,IN,21.1667,79.65,67.15,51,0,1.48,clear sky
117,Fairbanks,US,64.8378,-147.7164,-1.79,69,0,13.8,clear sky
118,Gat,IL,31.61,34.7642,59.68,100,7,4.76,clear sky
119,Calama,CL,-22.4667,-68.9333,73.89,13,0,20.71,clear sky
120,Chokurdakh,RU,70.6333,147.9167,-15.23,88,5,4.38,clear sky
121,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,65,40,12.66,scattered clouds
122,Kawalu,ID,-7.3817,108.2082,72.07,92,100,2.66,overcast clouds
123,Nome,US,64.5011,-165.4064,25.16,50,0,24.16,clear sky
124,Marawi,PH,7.9986,124.2928,69.22,97,100,0.89,overcast clouds
125,Tambun,ID,-6.2641,107.0712,80.49,81,100,6.58,overcast clouds
126,Talas,TR,38.6908,35.5538,30.87,93,100,2.3,mist
127,Wajima,JP,37.4,136.9,42.55,67,98,32.48,light rain
128,Feijo,BR,-8.1642,-70.3536,82.6,84,24,2.66,few clouds
129,Dubovka,RU,49.0583,44.829,34.75,97,97,7.7,overcast clouds
130,Padang,ID,-0.9492,100.3543,73.45,75,100,4.63,overcast clouds
131,San Patricio,US,28.017,-97.5169,26.46,18,0,15.61,clear sky
132,Kavaratti,IN,10.5669,72.642,81.57,67,96,10.27,overcast clouds
133,Calvinia,ZA,-31.4707,19.776,66.61,52,100,8.1,overcast clouds
134,Dongning,CN,44.0622,131.1207,8.65,88,79,7.96,broken clouds
135,Ponta Do Sol,PT,32.6667,-17.1,69.01,78,4,5.66,clear sky
136,Provideniya,RU,64.3833,-173.3,15.01,78,3,22.41,clear sky
137,Mahajanga,MG,-15.7167,46.3167,82.42,78,20,8.05,few clouds
138,Marienburg,PL,54.0359,19.0266,40.89,95,99,7.9,overcast clouds
139,Olinda,BR,-8.0089,-34.8553,85.73,66,40,10.36,scattered clouds
140,Lagos,NG,6.5833,3.75,88.12,57,53,5.44,broken clouds
141,Ballina,AU,-28.8667,153.5667,70.02,97,100,6.98,overcast clouds
142,Villaviciosa,ES,43.4813,-5.4357,61.61,94,100,2.19,overcast clouds
143,Bredasdorp,ZA,-34.5322,20.0403,66.9,79,87,15.03,overcast clouds
144,San Quintin,MX,30.4833,-115.95,64.08,54,0,2.44,clear sky
145,Cape Town,ZA,-33.9258,18.4232,73.38,73,75,6.91,broken clouds
146,Amahai,ID,-3.3333,128.9167,78.73,76,41,3.11,scattered clouds
147,Tsagan Aman,RU,47.5639,46.7218,32.92,90,4,10.69,clear sky
148,Avon Lake,US,41.5053,-82.0282,-1.21,80,100,36.82,light snow
149,Adrar,MR,20.5022,-10.0711,69.53,19,0,11.3,clear sky
150,Bethel,US,41.3712,-73.414,48.94,81,100,14.97,overcast clouds
151,Londonderry,GB,54.9981,-7.3093,46.13,93,75,14.97,light rain
152,Soyo,AO,-6.1349,12.3689,78.64,77,78,5.19,broken clouds
153,Atar,MR,20.5169,-13.0499,75.4,16,0,12.35,clear sky
154,Te Anau,NZ,-45.4167,167.7167,50.4,90,94,1.07,overcast clouds
155,Castro,BR,-24.7911,-50.0119,69.82,66,42,7.83,scattered clouds
156,Rio Grande,BR,-32.035,-52.0986,89.71,63,61,16.24,broken clouds
157,Makakilo City,US,21.3469,-158.0858,72.19,85,20,4.61,few clouds
158,Ndjole,GA,-0.1783,10.7649,75.25,92,81,2.53,light rain
159,Aginskoye,RU,51.1,114.53,-11.51,92,28,4.27,scattered clouds
160,Hithadhoo,MV,-0.6,73.0833,81.84,71,95,19.04,overcast clouds
161,Russell,US,32.3502,-85.1999,29.48,37,0,17.27,clear sky
162,Kavieng,PG,-2.5744,150.7967,81.99,78,74,11.79,broken clouds
163,Meybod,IR,32.2501,54.0166,48.22,34,94,1.97,overcast clouds
164,Margate,GB,51.3813,1.3862,52.11,87,86,5.99,overcast clouds
165,Lagoa,PT,39.05,-27.9833,57.6,66,8,31.07,light rain
166,Eureka,US,40.8021,-124.1637,60.26,86,100,3.0,overcast clouds
167,Marsh Harbour,BS,26.5412,-77.0636,77.36,77,85,18.75,overcast clouds
168,Clyde River,CA,70.4692,-68.5914,-14.57,76,75,5.75,broken clouds
169,Creel,MX,27.75,-107.6333,56.84,12,3,14.72,clear sky
170,Manicore,BR,-5.8092,-61.3003,89.55,66,40,6.91,scattered clouds
171,Mogadishu,SO,2.0371,45.3438,78.24,81,46,20.15,scattered clouds
172,West Lafayette,US,40.4259,-86.9081,-0.42,72,100,19.57,haze
173,High Rock,BS,26.6208,-78.2833,80.62,78,46,18.54,scattered clouds
174,Capao Da Canoa,BR,-29.7456,-50.0097,73.62,68,0,19.64,clear sky
175,Luebo,CD,-5.35,21.4167,69.76,97,70,0.47,broken clouds
176,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,74,87,12.8,overcast clouds
177,Hay River,CA,60.8156,-115.7999,-31.02,68,75,3.44,light snow
178,Faanui,PF,-16.4833,-151.75,79.47,79,72,14.43,moderate rain
179,Ayagoz,KZ,47.9714,80.4392,-10.16,100,92,2.28,overcast clouds
180,Sarramea,NC,-21.6421,165.8452,76.41,87,48,3.69,scattered clouds
181,Aswan,EG,24.0934,32.907,67.3,30,0,6.91,clear sky
182,Balkanabat,TM,39.5108,54.3671,41.22,27,0,14.16,clear sky
183,Longyearbyen,SJ,78.2186,15.6401,8.44,66,75,11.5,broken clouds
184,Dossor,KZ,47.5272,52.9811,27.86,60,0,12.21,clear sky
185,Sakakah,SA,29.9697,40.2064,49.57,79,89,5.84,overcast clouds
186,Kungurtug,RU,50.5994,97.5228,1.65,98,100,3.15,overcast clouds
187,Goya,AR,-29.14,-59.2626,103.48,17,55,7.38,broken clouds
188,Torbay,CA,47.6666,-52.7314,31.28,85,75,12.66,shower rain
189,Taoudenni,ML,22.6783,-3.9836,70.88,19,0,11.16,clear sky
190,Looc,PH,12.2605,121.9926,77.0,81,100,19.75,overcast clouds
191,Neiafu,TO,-18.65,-173.9833,79.48,83,40,10.36,scattered clouds
192,Hofn,IS,64.2539,-15.2082,20.64,58,45,11.63,scattered clouds
193,Roma,US,43.2128,-75.4557,42.96,91,100,24.16,fog
194,Santo Domingo,DO,18.5001,-69.9886,83.84,81,75,8.05,broken clouds
195,Hirtshals,DK,57.5881,9.9592,34.41,67,4,4.0,clear sky
196,Yarmouth,US,41.7057,-70.2286,56.64,94,100,14.97,mist
197,Banda Aceh,ID,5.5577,95.3222,77.52,82,20,6.08,few clouds
198,Sahiwal,PK,30.6667,73.1,54.23,27,0,2.89,clear sky
199,Bodden Town,KY,19.2833,-81.25,81.93,81,40,5.75,scattered clouds
200,Kestel,TR,40.1983,29.2124,47.68,64,19,1.5,few clouds
201,Barrow,US,71.2906,-156.7887,3.22,85,100,5.75,overcast clouds
202,Aljojuca,MX,19.1,-97.5167,57.72,50,54,5.32,broken clouds
203,Paamiut,GL,61.994,-49.6678,11.35,60,0,7.34,clear sky
204,Skjervoy,NO,70.0311,20.9714,15.8,94,87,7.2,snow
205,Mayumba,GA,-3.432,10.6554,75.33,86,80,1.72,broken clouds
